bracket_order,filing_type,year,rate,min_range,max_range,taxable_income
0,joint,2017,0.1,0.0,19050.0,19050.0
1,joint,2017,0.15,19050.0,77400.0,58350.0
2,joint,2017,0.25,77400.0,165000.0,87600.0
3,joint,2017,0.28,165000.0,315000.0,150000.0
4,joint,2017,0.33,315000.0,400000.0,85000.0
5,joint,2017,0.34,400000.0,600000.0,200000.0
6,joint,2017,0.396,600000.0,600000.0,0.0
0,single,2017,0.1,0.0,9525.0,9525.0
1,single,2017,0.15,9525.0,38700.0,29175.0
2,single,2017,0.25,38700.0,82500.0,43800.0
3,single,2017,0.28,82500.0,157500.0,75000.0
4,single,2017,0.33,157500.0,200000.0,42500.0
5,single,2017,0.34,200000.0,500000.0,300000.0
6,single,2017,0.396,500000.0,500000.0,0.0
0,joint,2018,0.1,0.0,19050.0,19050.0
1,joint,2018,0.12,19050.0,77400.0,58350.0
2,joint,2018,0.22,77400.0,165000.0,87600.0
3,joint,2018,0.24,165000.0,315000.0,150000.0
4,joint,2018,0.32,315000.0,400000.0,85000.0
5,joint,2018,0.35,400000.0,600000.0,200000.0
6,joint,2018,0.37,600000.0,600000.0,0.0
0,single,2018,0.1,0.0,9525.0,9525.0
1,single,2018,0.12,9525.0,38700.0,29175.0
2,single,2018,0.22,38700.0,82500.0,43800.0
3,single,2018,0.24,82500.0,157500.0,75000.0
4,single,2018,0.32,157500.0,200000.0,42500.0
5,single,2018,0.35,200000.0,500000.0,300000.0
6,single,2018,0.37,500000.0,500000.0,0.0
